,MW,LogP,HBA,HBD,CSP3,NumRotBond,NumRings,TPSA,NumAromaticRings
72,510.284220316,2.913400000000002,9,2,0.6428571428571429,5,5,110.25999999999999,1
139,484.24744088399996,3.239600000000002,7,4,0.27586206896551724,8,4,104.53,3
6,548.263484872,2.3736000000000033,10,2,0.4666666666666667,8,5,119.49,2
132,426.14607217199995,2.416900000000001,9,1,0.5263157894736842,8,2,119.07999999999998,1
63,437.26381921999996,0.7810000000000026,10,3,0.8095238095238095,4,3,122.29,0
54,486.24783480799994,1.193300000000002,10,2,0.6,7,4,119.49,1
107,524.238332744,0.9783000000000015,12,2,0.5384615384615384,5,5,142.93,1
50,513.25873384,1.360900000000003,11,3,0.5769230769230769,8,4,139.35999999999999,1
156,466.0834719159999,3.394300000000002,9,1,0.08695652173913043,6,4,119.08,3
58,339.19065428,0.20357000000000042,9,6,0.7333333333333333,6,2,148.60999999999999,0
48,520.268570252,2.7280000000000024,9,2,0.5172413793103449,7,5,110.25999999999999,2
88,532.268570252,2.6509000000000027,9,2,0.4666666666666667,7,5,110.25999999999999,2
21,426.22268268000005,-0.37569999999999504,12,5,0.7222222222222222,5,2,171.85999999999999,0
57,527.274383904,0.6910000000000047,11,3,0.5925925925925926,9,4,139.35999999999999,1
153,462.263090948,2.580300000000001,7,3,0.4444444444444444,7,4,90.54,2
129,422.23179081999996,2.4573,7,4,0.375,7,3,104.53,2
37,555.3169174120001,1.705870000000003,12,4,0.6071428571428571,8,4,154.58,1
149,484.24744088399996,3.822600000000003,7,3,0.27586206896551724,8,4,90.53999999999999,3
1,439.254317156,-0.714299999999995,12,5,0.7368421052631579,5,2,163.66,0
52,470.25292018799996,1.4931200000000018,9,2,0.6,6,4,110.26,1
130,474.22670543999993,2.813300000000001,8,4,0.2962962962962963,8,4,113.76000000000002,3
103,509.227433712,1.8291199999999999,11,2,0.5,5,5,136.29,2
99,484.026262656,3.125300000000001,8,1,0.25,8,3,109.85,2
116,505.07911480799993,0.7648000000000004,13,2,0.19047619047619047,8,3,176.68999999999997,2
87,464.1042073599999,2.504500000000001,8,1,0.125,7,4,109.85,3
74,486.21144929999997,0.5233000000000028,11,2,0.5833333333333334,5,5,128.72,1
121,475.24308377600005,1.6727000000000007,11,3,0.6086956521739131,6,3,146.36999999999998,1
158,332.04669248399995,1.2278000000000004,7,2,0.06666666666666667,3,3,106.77000000000001,2
20,425.238667092,-0.8026999999999946,12,6,0.7222222222222222,5,2,174.66,0
71,482.28528293600004,0.8965000000000034,12,5,0.7727272727272727,9,2,171.85999999999999,0
106,619.1835798760001,3.712200000000002,14,2,0.39285714285714285,11,3,185.91999999999996,2
14,472.2685702519999,2.0942999999999987,9,3,0.6,11,3,124.24999999999999,1
92,464.1042073599999,3.2169000000000016,8,1,0.125,7,4,109.85,3
102,519.0947648719999,1.1549000000000003,13,2,0.22727272727272727,9,3,176.68999999999997,2
