,MW,LogP,HBA,HBD,CSP3,NumRotBond,NumRings,TPSA,NumAromaticRings,SMILES
1879,448.0741110479999,-10.861100000000002,15,12,0.8333333333333334,10,0,314.06,0,O.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Ca+2]
1880,361.20417910400005,5.771680000000005,3,0,0.3333333333333333,9,2,50.09,2,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1
1881,175.095691276,-1.1531999999999993,6,6,0.6666666666666666,5,0,118.44000000000001,0,NC(=O)NCCC[C@H](N)C(=O)O
1882,472.39164552399996,9.059960000000002,3,0,0.7741935483870968,13,2,35.53,1,CC(=O)Oc1c(C)c(C)c2c(c1C)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2
1883,132.053492116,-1.8540999999999999,5,4,0.5,3,0,92.42,0,NCC(=O)NCC(=O)O
1884,199.043377368,-3.329699999999997,3,3,0.8333333333333334,4,0,63.32000000000001,0,C[S+](C)CCC(N)C(=O)O.[Cl-]
1885,915.5191500040002,1.8335000000000106,18,5,0.8478260869565217,13,4,238.66999999999996,0,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC
1886,208.034767668,-0.5087000000000002,5,1,0.75,2,2,72.83,0,O=C(O)C1C2CCC(O2)C1C(=O)O[Na]
1887,174.100442308,-0.6853999999999989,5,4,0.7142857142857143,5,0,92.42,0,CCNC(=O)CC[C@H](N)C(=O)O
1888,206.0579088,1.8102,4,0,0.18181818181818182,2,2,48.67,2,COc1cc(OC)c2ccc(=O)oc2c1
1889,562.2580055679999,7.504040000000006,8,4,0.23529411764705882,8,5,131.96,3,C=CC1=C(C)c2cc3nc(cc4[nH]c(cc5[nH]c(cc1n2)c(C)c5C=C)c(C)c4CCC(=O)O)C(CCC(=O)O)=C3C
1890,368.08644911999994,2.5708400000000013,6,4,0.375,7,2,106.70000000000002,2,Cc1ncc(CSSCc2cnc(C)c(O)c2CO)c(CO)c1O
1891,150.104465068,2.824020000000001,1,1,0.4,1,1,20.23,1,Cc1ccc(C(C)C)c(O)c1
